O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
5.45,8.67,3.45,5.34,4.23,7.06,4.4,3.84,4.84,7.01,Księgowy
5.45,8.67,3.45,5.34,4.23,5.1,3.42,2.2,5.33,3.79,Księgowy
6.46,9.68,4.46,6.35,5.24,5.81,4.12,2.3,6.13,4.5,Księgowy
7.45,8.67,5.23,7.67,6.01,8.06,6.45,5.62,6.73,8.17,Urzędnik administracyjny
7.65,8.87,5.43,7.87,6.21,8.26,6.65,5.82,6.93,8.37,Urzędnik administracyjny
7.45,8.67,5.23,7.67,6.01,5.7,4.77,1.67,6.33,5.26,Urzędnik administracyjny
7.65,8.87,5.43,7.87,6.21,5.84,4.91,1.69,6.49,5.4,Urzędnik administracyjny
8.46,9.68,6.24,8.68,7.02,6.41,5.48,1.77,7.13,5.97,Urzędnik administracyjny
8.66,9.88,6.44,8.88,7.22,6.55,5.62,1.79,7.29,6.11,Urzędnik administracyjny
7.67,6.12,8.78,7.45,6.45,6.9,8.12,7.62,7.06,6.79,Dyrektor ds. reklamy
7.87,6.32,8.98,7.65,6.65,7.1,8.32,7.82,7.26,6.99,Dyrektor ds. reklamy
7.67,6.12,8.78,7.45,6.45,4.75,5.59,0.51,5.67,5.33,Dyrektor ds. reklamy
7.87,6.32,8.98,7.65,6.65,4.89,5.73,0.53,5.83,5.47,Dyrektor ds. reklamy
8.68,7.13,9.79,8.46,7.46,5.46,6.3,0.61,6.48,6.03,Dyrektor ds. reklamy
8.88,7.33,5.45,8.66,7.66,5.6,5.53,0.63,6.64,6.17,Dyrektor ds. reklamy
7.23,7.67,4.23,5.45,4.89,7.45,4.84,4.56,6.06,6.56,Inżynier lotnictwa
7.43,7.87,4.43,5.65,5.09,7.65,5.04,4.76,6.26,6.76,Inżynier lotnictwa
7.23,7.67,4.23,5.45,4.89,5.24,4.46,1.6,5.92,4.71,Inżynier lotnictwa
7.43,7.87,4.43,5.65,5.09,5.38,4.6,1.62,6.08,4.85,Inżynier lotnictwa
8.24,8.68,5.24,6.46,5.9,5.94,5.17,1.7,6.72,5.41,Inżynier lotnictwa
8.44,8.88,5.44,6.66,6.1,6.08,5.31,1.72,6.88,5.55,Inżynier lotnictwa
5.12,8.89,4.34,5.45,4.78,7.01,4.9,4.56,4.95,7.17,Kontroler ruchu lotniczego
5.12,9.23,4.34,5.45,2.67,7.18,4.9,3.51,3.9,7.34,Kontroler ruchu lotniczego
4.92,9.03,4.14,5.25,2.47,6.98,4.7,3.31,3.7,7.14,Kontroler ruchu lotniczego
5.12,8.89,4.34,5.45,4.78,5.09,3.43,2.12,5.23,3.65,Kontroler ruchu lotniczego
5.12,9.23,4.34,5.45,2.67,5.23,3.43,2.89,5.33,3.65,Kontroler ruchu lotniczego
4.92,9.03,4.14,5.25,2.47,5.09,3.29,2.87,5.17,3.51,Kontroler ruchu lotniczego
6.13,9.9,5.35,6.46,5.79,5.8,4.14,2.22,6.04,4.36,Kontroler ruchu lotniczego
6.13,5.6,5.35,6.46,3.68,4.08,4.14,1.14,4.75,4.36,Kontroler ruchu lotniczego
5.93,10.04,5.15,6.26,3.48,5.8,4.0,2.97,5.98,4.22,Kontroler ruchu lotniczego
4.34,8.89,4.78,6.45,5.45,6.62,5.62,5.12,4.9,7.67,Pilot linii lotniczych
4.34,8.89,4.78,6.45,2.33,6.62,5.62,3.56,3.34,7.67,Pilot linii lotniczych
4.14,8.69,4.58,6.25,2.13,6.42,5.42,3.36,3.14,7.47,Pilot linii lotniczych
4.34,8.89,4.78,6.45,5.45,4.86,3.13,1.92,4.84,3.46,Pilot linii lotniczych
4.34,8.89,4.78,6.45,2.33,4.86,3.13,2.86,4.84,3.46,Pilot linii lotniczych
4.14,8.69,4.58,6.25,2.13,4.72,2.99,2.84,4.68,3.32,Pilot linii lotniczych
5.35,9.9,5.79,7.46,6.46,5.57,3.83,2.02,5.65,4.17,Pilot linii lotniczych
5.35,9.9,5.79,7.46,3.34,5.57,3.83,2.96,5.65,4.17,Pilot linii lotniczych
5.15,9.7,5.59,7.26,3.14,5.43,3.69,2.94,5.49,4.03,Pilot linii lotniczych
8.45,7.01,5.34,5.45,4.56,7.73,5.4,4.95,6.51,6.23,Architekt
8.45,7.01,5.34,5.45,4.56,5.34,5.29,1.44,6.33,5.32,Architekt
9.46,8.02,6.35,6.46,5.57,6.05,6.0,1.54,7.14,6.02,Architekt
9.34,3.56,7.23,6.78,5.45,6.45,7.01,6.34,7.4,5.17,Artysta
9.34,3.56,7.23,6.78,5.45,4.23,6.12,0.21,5.74,6.03,Artysta
8.1,4.57,8.24,7.79,6.46,4.26,5.7,0.11,5.42,5.61,Artysta
9.45,8.01,4.67,5.56,4.01,8.73,5.12,4.34,6.73,6.79,Astronom
9.45,8.01,4.67,5.56,4.01,6.04,5.66,2.0,7.13,5.84,Astronom
8.23,9.02,5.68,6.57,5.02,6.08,5.25,2.1,6.82,5.43,Astronom
5.12,9.23,4.34,5.45,2.67,7.18,4.9,3.51,3.9,7.34,Inspektor bezpieczeństwa lotniczego
5.12,9.23,4.34,5.45,2.67,5.23,3.43,2.89,5.33,3.65,Inspektor bezpieczeństwa lotniczego
6.13,10.24,5.35,6.46,3.68,5.94,4.14,2.99,6.14,4.36,Inspektor bezpieczeństwa lotniczego
7.01,7.78,5.23,9.12,6.01,7.4,7.18,5.62,6.51,8.45,Terapeuta behawioralny
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Terapeuta behawioralny
7.01,7.78,5.23,9.12,6.01,5.22,4.55,1.31,5.84,5.33,Terapeuta behawioralny
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Terapeuta behawioralny
8.02,8.79,6.24,10.13,7.02,5.92,5.26,1.41,6.65,6.04,Terapeuta behawioralny
7.02,8.79,6.24,9.12,7.46,5.62,4.76,1.28,6.15,5.33,Terapeuta behawioralny
8.78,7.67,3.67,6.45,5.34,8.23,5.06,4.51,7.06,7.06,Biolog
8.78,7.67,3.67,6.45,5.34,5.7,5.12,1.47,6.69,5.68,Biolog
9.79,8.68,4.68,7.46,6.35,6.41,5.83,1.57,7.5,6.39,Biolog
7.89,7.67,4.01,5.23,4.56,7.78,4.62,4.29,6.23,6.45,Inżynier biomedyczny
7.89,7.67,4.01,5.23,4.56,5.44,4.75,1.7,6.25,4.99,Inżynier biomedyczny
8.9,8.68,5.02,6.24,5.57,6.14,5.45,1.8,7.05,5.7,Inżynier biomedyczny
9.23,7.67,4.23,5.12,4.67,8.45,4.68,4.45,6.95,6.4,Badacz biomedyczny
9.43,7.87,4.43,5.32,4.87,8.65,4.88,4.65,7.15,6.6,Badacz biomedyczny
9.23,7.67,4.23,5.12,4.67,5.84,5.46,1.67,6.92,5.64,Badacz biomedyczny
9.43,7.87,4.43,5.32,4.87,5.98,5.6,1.69,7.08,5.78,Badacz biomedyczny
9.1,8.68,5.24,6.13,5.68,6.2,5.6,1.77,7.15,5.78,Badacz biomedyczny
8.34,8.88,5.44,6.33,5.88,6.05,5.26,1.79,6.83,5.44,Badacz biomedyczny
8.78,7.67,4.01,5.23,4.56,8.23,4.62,4.29,6.67,6.45,Biotechnolog
8.78,7.67,4.01,5.23,4.56,5.7,5.19,1.7,6.69,5.44,Biotechnolog
9.79,8.68,5.02,6.24,5.57,6.41,5.9,1.8,7.5,6.14,Biotechnolog
6.78,6.45,8.45,7.67,4.56,6.62,8.06,6.51,5.67,7.06,Szef kuchni
6.78,6.45,8.45,7.67,4.56,4.61,5.08,1.21,5.33,4.92,Szef kuchni
7.79,7.46,9.46,8.68,5.57,5.32,5.79,1.31,6.13,5.63,Szef kuchni
6.01,7.67,5.23,9.12,6.45,6.84,7.18,5.84,6.23,8.4,Chiropraktyk
6.21,7.87,5.43,9.32,6.65,7.04,7.38,6.04,6.43,8.6,Chiropraktyk
6.01,7.67,5.23,9.12,6.45,4.87,4.05,1.13,5.31,4.83,Chiropraktyk
6.21,7.87,5.43,9.32,6.65,5.01,4.19,1.15,5.47,4.97,Chiropraktyk
7.02,8.68,6.24,9.12,7.46,5.58,4.76,1.23,6.11,5.33,Chiropraktyk
7.22,8.88,7.65,8.23,7.66,5.72,5.14,1.25,6.27,5.26,Chiropraktyk
6.78,8.67,4.23,5.23,4.67,7.73,4.73,4.45,5.73,6.95,Inżynier budownictwa
6.98,8.87,4.43,5.43,4.87,7.93,4.93,4.65,5.93,7.15,Inżynier budownictwa
6.78,8.67,4.23,5.23,4.67,5.5,4.24,2.07,5.99,4.44,Inżynier budownictwa
6.98,8.87,4.43,5.43,4.87,5.64,4.38,2.09,6.15,4.58,Inżynier budownictwa
7.79,9.68,5.24,6.24,5.68,6.21,4.94,2.17,6.8,5.14,Inżynier budownictwa
7.99,9.88,5.44,6.44,5.88,6.35,5.08,2.19,6.96,5.28,Inżynier budownictwa
9.43,7.87,4.43,5.32,4.87,8.65,4.88,4.65,7.15,6.6,Koordynator badań klinicznych
9.43,7.87,4.43,5.32,4.87,5.98,5.6,1.69,7.08,5.78,Koordynator badań klinicznych
9.34,8.88,5.44,6.33,5.88,6.35,5.76,1.79,7.33,5.94,Koordynator badań klinicznych
8.87,8.32,4.21,5.43,4.87,8.6,4.82,4.54,6.87,6.88,Terapeuci ochrony środowiska
8.87,8.32,4.21,5.43,4.87,5.99,5.28,1.87,6.93,5.52,Terapeuci ochrony środowiska
9.88,9.33,5.22,6.44,5.88,6.7,5.98,1.97,7.74,6.23,Terapeuci ochrony środowiska
4.56,6.78,5.67,3.23,2.89,5.67,4.45,4.28,3.73,5.01,Inżynier budowy
4.56,6.78,5.67,3.23,2.89,4.08,3.41,1.85,4.31,2.93,Inżynier budowy
5.57,7.79,6.68,4.24,3.9,4.79,4.12,1.95,5.12,3.63,Inżynier budowy
6.87,7.54,8.87,8.09,5.65,7.21,8.48,7.26,6.26,7.82,Menedżer komunikacji korporacyjnej
6.87,7.54,8.87,8.09,5.65,5.08,5.21,1.32,5.7,5.05,Menedżer komunikacji korporacyjnej
7.88,8.55,9.88,9.1,6.66,5.78,5.92,1.42,6.51,5.76,Menedżer komunikacji korporacyjnej
6.01,7.78,5.23,9.34,6.45,6.9,7.29,5.84,6.23,8.56,Doradca
6.01,7.78,5.23,9.34,6.45,4.92,4.05,1.18,5.34,4.87,Doradca
7.02,8.79,6.24,8.23,7.46,5.62,4.76,1.28,6.15,5.16,Doradca
2.67,8.78,7.67,8.45,6.45,5.73,8.06,7.06,4.56,8.62,Celnik
2.87,8.98,7.87,8.65,6.65,5.93,8.26,7.26,4.76,8.82,Celnik
2.67,8.78,7.67,8.45,6.45,4.31,2.87,1.58,3.97,3.03,Celnik
2.87,8.98,7.87,8.65,6.65,4.45,3.01,1.6,4.13,3.17,Celnik
3.68,9.79,8.68,9.46,7.46,5.02,3.58,1.68,4.78,3.73,Celnik
3.88,9.99,8.88,9.66,7.66,5.16,3.72,1.7,4.94,3.87,Celnik
6.67,8.23,5.12,6.01,4.45,7.45,5.57,4.79,5.56,7.12,Analityk danych
6.67,8.23,5.12,6.01,4.45,5.29,4.36,1.96,5.8,4.54,Analityk danych
7.68,9.24,6.13,7.02,5.46,6.0,5.07,2.06,6.61,5.24,Analityk danych
6.78,7.23,3.89,5.12,4.67,7.01,4.51,4.28,5.73,6.18,Naukowiec danych
6.87,8.65,3.65,6.32,5.65,7.76,4.99,4.65,6.26,7.49,Naukowiec danych
6.78,7.23,3.89,5.12,4.67,4.93,4.17,1.49,5.56,4.41,Naukowiec danych
6.87,8.65,3.65,6.32,5.65,5.52,4.17,1.77,6.03,4.7,Naukowiec danych
7.79,8.24,4.9,6.13,5.68,5.63,4.88,1.59,6.37,5.12,Naukowiec danych
7.88,9.66,4.66,7.33,6.66,6.23,4.87,1.87,6.84,5.41,Naukowiec danych
6.67,8.45,3.45,6.12,5.45,7.56,4.79,4.45,6.06,7.29,Administrator baz danych
6.87,8.65,3.65,6.32,5.65,7.76,4.99,4.65,6.26,7.49,Administrator baz danych
6.67,8.45,3.45,6.12,5.45,5.38,4.03,1.75,5.87,4.56,Administrator baz danych
6.87,8.65,3.65,6.32,5.65,5.52,4.17,1.77,6.03,4.7,Administrator baz danych
7.68,9.46,4.46,7.13,6.46,6.09,4.73,1.85,6.68,5.27,Administrator baz danych
7.88,9.66,4.66,7.33,6.66,6.23,4.87,1.87,6.84,5.41,Administrator baz danych
6.78,8.45,3.45,6.45,5.45,7.62,4.95,4.45,6.12,7.45,Analityk baz danych
6.98,8.65,3.65,6.65,5.65,7.82,5.15,4.65,6.32,7.65,Analityk baz danych
6.78,8.45,3.45,6.45,5.45,5.41,4.08,1.75,5.93,4.68,Analityk baz danych
6.98,8.65,3.65,6.65,5.65,5.55,4.22,1.77,6.09,4.82,Analityk baz danych
7.79,9.46,4.46,7.46,6.46,6.12,4.79,1.85,6.73,5.39,Analityk baz danych
7.99,9.66,4.66,7.66,6.66,6.26,4.93,1.87,6.89,5.53,Analityk baz danych
7.43,8.65,5.65,9.32,6.21,8.04,7.49,5.93,6.82,8.99,Asystent dentystyczny
7.43,8.65,5.65,9.32,6.21,5.69,4.85,1.6,6.31,5.58,Asystent dentystyczny
8.44,9.66,6.66,7.54,7.22,6.4,5.55,1.7,7.12,5.73,Asystent dentystyczny
7.23,8.34,5.45,9.12,6.01,7.79,7.29,5.73,6.62,8.73,Higienistka stomatologiczna
7.43,8.65,5.65,9.32,6.21,8.04,7.49,5.93,6.82,8.99,Higienistka stomatologiczna
7.23,8.45,5.45,9.12,6.01,7.84,7.29,5.73,6.62,8.79,Higienistka stomatologiczna
7.23,8.34,5.45,9.12,6.01,5.51,4.71,1.53,6.12,5.44,Higienistka stomatologiczna
7.43,8.65,5.65,9.32,6.21,5.69,4.85,1.6,6.31,5.58,Higienistka stomatologiczna
7.23,8.45,5.45,9.12,6.01,5.55,4.71,1.58,6.15,5.44,Higienistka stomatologiczna
8.24,9.35,6.46,9.23,7.02,6.21,5.41,1.63,6.93,5.97,Higienistka stomatologiczna
8.44,9.66,6.66,8.13,7.22,6.4,5.55,1.7,7.12,5.85,Higienistka stomatologiczna
8.24,9.46,6.46,10.13,7.02,6.26,5.41,1.68,6.96,6.15,Higienistka stomatologiczna
7.67,8.23,6.01,9.12,5.45,7.95,7.57,5.73,6.56,8.68,Dyplomata
7.87,8.43,6.21,9.32,5.65,8.15,7.77,5.93,6.76,8.88,Dyplomata
7.67,8.23,6.01,9.12,5.45,5.59,5.04,1.66,6.3,5.66,Dyplomata
7.87,8.43,6.21,9.32,5.65,5.73,5.18,1.68,6.46,5.8,Dyplomata
8.68,9.24,7.02,9.12,6.46,6.3,5.74,1.76,7.11,6.16,Dyplomata
8.88,9.44,7.22,8.34,6.66,6.44,5.88,1.78,7.27,6.11,Dyplomata
9.09,7.87,4.65,5.32,6.21,8.48,4.99,5.43,7.65,6.6,Ekolog
9.09,7.87,4.65,5.32,6.21,5.88,5.48,1.29,6.91,5.61,Ekolog
9.2,8.88,5.66,6.33,7.22,6.31,5.73,1.39,7.26,5.87,Ekolog
7.23,7.67,4.23,5.45,4.89,7.45,4.84,4.56,6.06,6.56,Inżynier elektryk
7.43,7.87,4.43,5.65,5.09,7.65,5.04,4.76,6.26,6.76,Inżynier elektryk
7.23,7.67,4.23,5.45,4.89,5.24,4.46,1.6,5.92,4.71,Inżynier elektryk
7.43,7.87,4.43,5.65,5.09,5.38,4.6,1.62,6.08,4.85,Inżynier elektryk
8.24,8.68,5.24,6.46,5.9,5.94,5.17,1.7,6.72,5.41,Inżynier elektryk
8.44,8.88,5.44,6.66,6.1,6.08,5.31,1.72,6.88,5.55,Inżynier elektryk
7.34,7.67,4.23,5.45,4.89,7.51,4.84,4.56,6.12,6.56,Inżynier elektronik
7.54,7.87,4.43,5.65,5.09,7.71,5.04,4.76,6.32,6.76,Inżynier elektronik
7.34,7.67,4.23,5.45,4.89,5.27,4.52,1.6,5.97,4.76,Inżynier elektronik
7.54,7.87,4.43,5.65,5.09,5.41,4.66,1.62,6.13,4.9,Inżynier elektronik
8.35,8.68,5.24,6.46,5.9,5.98,5.22,1.7,6.78,5.47,Inżynier elektronik
8.55,8.88,5.44,6.66,6.1,6.12,5.36,1.72,6.94,5.61,Inżynier elektronik
6.45,7.67,5.34,9.23,4.45,7.06,7.29,4.9,5.45,8.45,Nauczyciel szkoły podstawowej
6.45,7.67,5.34,9.23,4.45,5.0,4.29,1.73,5.53,5.07,Nauczyciel szkoły podstawowej
7.46,8.68,6.35,9.12,5.46,5.71,5.0,1.83,6.33,5.55,Nauczyciel szkoły podstawowej
8.67,8.12,4.01,5.23,4.67,8.4,4.62,4.34,6.67,6.68,Inżynier środowiska
8.12,8.67,4.67,5.23,4.11,8.4,4.95,4.39,6.12,6.95,Inżynier środowiska
7.92,8.47,4.47,5.03,3.91,8.2,4.75,4.19,5.92,6.75,Inżynier środowiska
8.67,8.12,4.01,5.23,4.67,5.85,5.14,1.85,6.77,5.38,Inżynier środowiska
8.12,8.67,4.67,5.23,4.11,5.9,4.99,2.24,6.66,5.11,Inżynier środowiska
7.92,8.47,4.47,5.03,3.91,5.76,4.85,2.22,6.5,4.97,Inżynier środowiska
9.68,9.13,5.02,6.24,5.68,6.56,5.84,1.95,7.58,6.09,Inżynier środowiska
9.13,9.68,5.68,6.24,5.12,6.61,5.7,2.34,7.47,5.81,Inżynier środowiska
8.93,9.48,5.48,6.04,4.92,6.47,5.56,2.32,7.31,5.67,Inżynier środowiska
9.12,7.45,4.23,5.67,3.78,8.29,4.95,4.01,6.45,6.56,Naukowiec środowiskowy
8.67,8.12,4.01,5.23,4.67,8.4,4.62,4.34,6.67,6.68,Naukowiec środowiskowy
8.87,8.32,4.21,5.43,4.87,8.6,4.82,4.54,6.87,6.88,Naukowiec środowiskowy
9.12,7.45,4.23,5.67,3.78,5.72,5.41,1.85,6.8,5.69,Naukowiec środowiskowy
8.67,8.12,4.01,5.23,4.67,5.85,5.14,1.85,6.77,5.38,Naukowiec środowiskowy
8.87,8.32,4.21,5.43,4.87,5.99,5.28,1.87,6.93,5.52,Naukowiec środowiskowy
8.23,8.46,5.24,6.68,4.79,5.85,5.16,1.95,6.65,5.45,Naukowiec środowiskowy
9.68,9.13,5.02,6.24,5.68,6.56,5.84,1.95,7.58,6.09,Naukowiec środowiskowy
9.88,9.33,5.22,6.44,5.88,6.7,5.98,1.97,7.74,6.23,Naukowiec środowiskowy
7.01,3.78,8.45,6.78,5.45,5.4,7.62,6.95,6.23,5.28,Fotograf wydarzeń
7.01,3.78,8.45,6.78,5.45,3.62,5.2,0.12,4.64,4.86,Fotograf wydarzeń
8.02,4.79,9.46,7.79,6.46,4.32,5.9,0.02,5.45,5.57,Fotograf wydarzeń
6.67,6.01,8.45,8.23,4.34,6.34,8.34,6.4,5.51,7.12,Organizator wydarzeń
6.67,6.01,8.45,8.23,4.34,4.41,5.03,1.1,5.14,4.98,Organizator wydarzeń
7.68,7.02,9.46,9.24,5.35,5.11,5.73,1.2,5.95,5.69,Organizator wydarzeń
7.21,7.98,5.43,9.32,6.21,7.6,7.38,5.82,6.71,8.65,Terapeuci rodzinny
7.21,7.98,5.43,9.32,6.21,5.36,4.69,1.33,6.0,5.47,Terapeuci rodzinny
8.22,8.99,6.44,4.5,7.22,6.06,5.4,1.43,6.81,5.01,Terapeuci rodzinny
8.78,3.78,7.67,7.01,6.01,6.28,7.34,6.84,7.4,5.4,Projektant mody
8.78,3.78,7.67,7.01,6.01,4.15,5.92,0.29,5.52,5.79,Projektant mody
9.79,4.79,8.68,8.02,7.02,4.85,6.63,0.19,6.33,6.5,Projektant mody
8.78,4.23,7.67,7.45,6.45,6.51,7.56,7.06,7.62,5.84,Stylista mody
8.98,4.43,7.87,7.65,6.65,6.71,7.76,7.26,7.82,6.04,Stylista mody
8.78,4.23,7.67,7.45,6.45,4.33,5.92,0.24,5.66,5.88,Stylista mody
8.98,4.43,7.87,7.65,6.65,4.47,6.06,0.22,5.82,6.02,Stylista mody
9.79,5.24,8.68,8.46,7.46,5.03,6.63,0.14,6.47,6.59,Stylista mody
8.12,5.44,8.88,8.66,7.66,4.61,5.84,0.12,5.69,5.79,Stylista mody
8.67,4.23,7.67,7.45,6.45,6.45,7.56,7.06,7.56,5.84,Reżyser filmowy
8.87,4.43,7.87,7.65,6.65,6.65,7.76,7.26,7.76,6.04,Reżyser filmowy
8.67,4.23,7.67,7.45,6.45,4.29,5.87,0.24,5.6,5.83,Reżyser filmowy
8.87,4.43,7.87,7.65,6.65,4.43,6.01,0.22,5.76,5.97,Reżyser filmowy
9.68,5.24,8.68,8.46,7.46,5.0,6.58,0.14,6.41,6.53,Reżyser filmowy
9.88,5.44,8.88,8.66,7.66,5.14,6.72,0.12,6.57,6.67,Reżyser filmowy
6.67,7.78,3.45,6.01,5.45,7.23,4.73,4.45,6.06,6.9,Doradca finansowy
6.67,8.93,3.45,5.6,2.43,7.8,4.53,2.94,4.55,7.27,Doradca finansowy
6.47,8.73,3.25,5.4,2.23,7.6,4.33,2.74,4.35,7.07,Doradca finansowy
6.67,7.78,3.45,6.01,5.45,5.11,4.03,1.48,5.67,4.54,Doradca finansowy
6.67,8.93,3.45,5.6,2.43,5.57,4.03,2.84,6.01,4.46,Doradca finansowy
6.47,8.73,3.25,5.4,2.23,5.43,3.89,2.82,5.85,4.32,Doradca finansowy
7.68,8.79,4.46,7.02,6.46,5.82,4.73,1.58,6.48,5.24,Doradca finansowy
